student_id,theta,alpha,phi,s,g,tau,h
42,0.653,0.447,0.186,0.191,0.048,1.409,0.458
43,0.759,0.153,0.182,0.141,0.059,1.215,0.912
44,0.526,0.059,0.102,0.04,0.078,1.285,0.687
45,0.672,0.037,0.331,0.09,0.101,1.529,0.961
46,0.521,0.417,0.092,0.049,0.12,0.695,0.348
47,0.558,0.358,0.119,0.014,0.152,1.541,0.348
48,0.73,0.375,0.338,0.167,0.062,0.559,0.12
49,0.85,0.103,0.057,0.113,0.196,1.633,0.241
50,0.679,0.655,0.065,0.035,0.123,1.889,0.943
51,0.818,0.093,0.16,0.096,0.002,1.424,0.836
52,0.703,0.365,0.327,0.199,0.096,1.092,0.46
53,0.502,0.573,0.362,0.051,0.001,0.679,0.781
54,0.704,0.252,0.308,0.001,0.16,0.84,0.215
55,0.662,0.166,0.061,0.079,0.068,1.445,0.298
56,0.83,0.319,0.289,0.107,0.16,1.108,0.24
57,0.701,0.079,0.264,0.092,0.008,1.162,0.383
58,0.726,0.427,0.159,0.177,0.118,1.239,0.853
59,0.802,0.09,0.267,0.17,0.123,1.62,0.887
60,0.322,0.195,0.224,0.023,0.165,0.83,0.086
61,0.596,0.25,0.33,0.173,0.042,1.49,0.421
62,0.819,0.099,0.192,0.174,0.05,0.765,0.202
63,0.722,0.17,0.357,0.028,0.001,1.654,0.375
64,0.388,0.174,0.068,0.117,0.033,1.586,0.446
65,0.529,0.387,0.096,0.196,0.084,1.614,0.788
66,0.694,0.099,0.131,0.024,0.053,1.267,0.152
67,0.593,0.172,0.378,0.064,0.065,1.335,0.052
68,0.765,0.288,0.204,0.062,0.104,1.124,0.95
69,0.712,0.457,0.24,0.09,0.034,1.358,0.011
70,0.75,0.033,0.47,0.1,0.029,1.107,0.403
71,0.202,0.311,0.149,0.053,0.088,0.515,0.252
72,0.717,0.059,0.26,0.136,0.14,1.103,0.045
73,0.528,0.097,0.212,0.147,0.12,0.738,0.336
74,0.526,0.356,0.116,0.118,0.192,0.977,0.55
75,0.539,0.173,0.216,0.137,0.128,1.277,0.196
76,0.51,0.268,0.148,0.037,0.185,1.005,0.98
77,0.833,0.22,0.476,0.18,0.145,0.57,0.398
78,0.799,0.353,0.233,0.097,0.106,1.759,0.218
79,0.431,0.409,0.203,0.101,0.149,1.9,0.329
80,0.641,0.302,0.225,0.054,0.116,0.814,0.85
81,0.651,0.185,0.279,0.145,0.182,1.449,0.969
82,0.719,0.057,0.465,0.114,0.105,1.5,0.566
83,0.427,0.202,0.033,0.125,0.045,0.873,0.832
84,0.764,0.356,0.166,0.059,0.093,1.596,0.791
85,0.649,0.156,0.336,0.04,0.07,1.994,0.778
86,0.78,0.268,0.24,0.033,0.014,1.544,0.257
87,0.521,0.237,0.102,0.017,0.078,1.673,0.284
88,0.904,0.168,0.422,0.144,0.191,1.277,0.295
89,0.613,0.29,0.054,0.158,0.029,0.918,0.058
90,0.776,0.131,0.168,0.083,0.187,1.22,0.947
91,0.681,0.435,0.333,0.058,0.034,1.332,0.244
92,0.461,0.179,0.145,0.086,0.093,1.208,0.273
93,0.649,0.163,0.026,0.193,0.073,0.781,0.716
94,0.417,0.322,0.336,0.015,0.118,1.498,0.524
95,0.696,0.282,0.049,0.199,0.047,1.131,0.644
96,0.692,0.272,0.363,0.017,0.05,1.438,0.054
97,0.704,0.237,0.275,0.086,0.11,1.915,0.986
98,0.421,0.658,0.311,0.031,0.198,0.659,0.813
99,0.648,0.348,0.066,0.068,0.1,1.933,0.838
100,0.448,0.312,0.252,0.184,0.023,0.665,0.324
101,0.775,0.182,0.329,0.096,0.097,1.912,0.618
102,0.572,0.013,0.232,0.198,0.026,1.984,0.848
103,0.55,0.15,0.186,0.135,0.083,0.893,0.471
104,0.911,0.116,0.06,0.115,0.014,0.579,0.589
105,0.353,0.529,0.176,0.17,0.182,1.271,0.081
106,0.404,0.023,0.181,0.151,0.102,0.624,0.619
107,0.492,0.119,0.212,0.083,0.147,0.696,0.469
108,0.728,0.352,0.014,0.066,0.072,1.13,0.586
109,0.662,0.233,0.214,0.114,0.105,1.288,0.398
110,0.642,0.509,0.038,0.18,0.047,0.57,0.466
111,0.766,0.284,0.054,0.183,0.03,0.616,0.729
112,0.741,0.235,0.198,0.022,0.078,1.798,0.257
113,0.632,0.323,0.263,0.047,0.198,1.927,0.462
114,0.745,0.462,0.156,0.122,0.17,1.183,0.385
115,0.499,0.454,0.161,0.019,0.18,1.946,0.665
116,0.334,0.402,0.033,0.049,0.105,1.285,0.552
117,0.739,0.084,0.212,0.087,0.162,1.933,0.31
118,0.675,0.23,0.027,0.084,0.109,1.669,0.179
119,0.659,0.286,0.125,0.053,0.124,1.125,0.646
120,0.671,0.073,0.196,0.037,0.147,0.743,0.834
121,0.518,0.514,0.01,0.055,0.087,0.872,0.494
122,0.722,0.395,0.091,0.077,0.117,0.927,0.579
123,0.791,0.371,0.066,0.126,0.145,0.607,0.487
124,0.563,0.237,0.083,0.145,0.178,1.817,0.766
125,0.345,0.231,0.165,0.122,0.091,1.381,0.446
126,0.613,0.276,0.553,0.163,0.064,1.748,0.062
127,0.57,0.155,0.175,0.008,0.163,1.203,0.532
128,0.834,0.191,0.181,0.11,0.168,1.792,0.849
129,0.564,0.45,0.284,0.024,0.035,1.64,0.578
130,0.388,0.021,0.065,0.163,0.179,1.757,0.143
131,0.507,0.335,0.1,0.176,0.153,1.136,0.786
132,0.75,0.201,0.035,0.068,0.071,1.607,0.384
133,0.883,0.383,0.134,0.087,0.062,0.844,0.32
134,0.636,0.059,0.031,0.117,0.044,1.252,0.915
135,0.873,0.051,0.181,0.056,0.123,0.675,0.092
136,0.479,0.186,0.109,0.196,0.032,0.672,0.739
137,0.729,0.39,0.241,0.131,0.174,1.063,0.056
138,0.787,0.059,0.342,0.108,0.124,1.24,0.169
139,0.744,0.144,0.341,0.092,0.013,0.985,0.95
140,0.522,0.109,0.078,0.023,0.106,1.711,0.985
141,0.861,0.483,0.212,0.015,0.144,1.151,0.839
142,0.445,0.584,0.211,0.055,0.067,0.572,0.189
143,0.645,0.285,0.351,0.171,0.037,1.69,0.955
144,0.793,0.164,0.063,0.189,0.166,0.52,0.768
145,0.421,0.637,0.178,0.161,0.066,1.668,0.113
146,0.584,0.222,0.375,0.196,0.027,1.794,0.911
147,0.649,0.361,0.105,0.083,0.018,0.717,0.293
148,0.649,0.266,0.134,0.107,0.104,0.524,0.659
149,0.621,0.543,0.056,0.096,0.032,0.941,0.704
150,0.686,0.389,0.279,0.111,0.082,1.637,0.985
151,0.684,0.088,0.113,0.019,0.192,1.788,0.53
152,0.488,0.318,0.221,0.068,0.165,1.401,0.668
153,0.628,0.237,0.28,0.08,0.189,0.707,0.827
154,0.856,0.524,0.048,0.199,0.025,1.286,0.906
155,0.406,0.136,0.15,0.186,0.132,1.715,0.822
156,0.821,0.724,0.311,0.08,0.063,1.404,0.923
157,0.718,0.131,0.265,0.142,0.147,0.778,0.851
158,0.84,0.082,0.177,0.026,0.157,1.036,0.159
159,0.552,0.454,0.34,0.188,0.04,0.987,0.232
160,0.419,0.294,0.11,0.174,0.024,0.502,0.819
161,0.39,0.22,0.255,0.18,0.157,1.851,0.111
162,0.853,0.262,0.216,0.065,0.042,1.361,0.746
163,0.792,0.055,0.22,0.074,0.199,1.951,0.706
164,0.713,0.08,0.122,0.062,0.086,1.865,0.376
165,0.692,0.059,0.089,0.063,0.188,1.334,0.224
166,0.396,0.06,0.252,0.025,0.179,1.532,0.161
167,0.785,0.414,0.143,0.146,0.103,1.019,0.011
168,0.785,0.45,0.157,0.042,0.082,0.505,0.138
169,0.696,0.164,0.044,0.189,0.066,1.248,0.39
170,0.877,0.206,0.121,0.191,0.022,1.409,0.949
171,0.761,0.637,0.201,0.121,0.175,1.373,0.301
172,0.553,0.175,0.412,0.059,0.162,1.557,0.756
173,0.878,0.455,0.142,0.144,0.083,1.119,0.219
174,0.603,0.148,0.055,0.132,0.005,1.056,0.307
175,0.825,0.195,0.249,0.148,0.124,0.77,0.828
176,0.472,0.109,0.104,0.109,0.09,0.657,0.868
177,0.681,0.028,0.181,0.182,0.033,0.754,0.326
178,0.694,0.304,0.091,0.016,0.113,0.832,0.1
179,0.561,0.149,0.162,0.013,0.044,1.408,0.516
180,0.706,0.431,0.358,0.009,0.075,1.094,0.921
181,0.858,0.282,0.207,0.138,0.092,1.411,0.375
182,0.499,0.45,0.171,0.049,0.192,0.594,0.978
183,0.879,0.519,0.442,0.078,0.14,1.036,0.708
184,0.679,0.425,0.149,0.097,0.014,1.314,0.701
185,0.377,0.124,0.118,0.082,0.1,0.778,0.119
186,0.715,0.105,0.233,0.063,0.015,1.585,0.183
187,0.57,0.112,0.217,0.126,0.171,1.838,0.234
188,0.865,0.157,0.468,0.013,0.107,0.816,0.875
189,0.444,0.185,0.196,0.092,0.113,1.304,0.282
190,0.798,0.186,0.237,0.026,0.101,1.267,0.89
191,0.643,0.316,0.441,0.015,0.131,0.596,0.449
192,0.785,0.183,0.224,0.084,0.087,0.826,0.698
193,0.779,0.06,0.007,0.086,0.03,0.94,0.34
194,0.375,0.603,0.201,0.025,0.134,1.81,0.613
195,0.68,0.557,0.125,0.169,0.125,0.832,0.449
196,0.655,0.143,0.33,0.044,0.135,1.572,0.874
197,0.893,0.317,0.191,0.076,0.068,2.0,0.195
198,0.658,0.11,0.031,0.117,0.139,1.042,0.473
199,0.915,0.035,0.427,0.134,0.166,0.578,0.9
200,0.787,0.203,0.117,0.102,0.042,1.931,0.517
201,0.787,0.213,0.077,0.152,0.068,1.816,0.236
202,0.839,0.349,0.148,0.078,0.046,0.878,0.845
203,0.454,0.51,0.015,0.012,0.134,0.693,0.521
204,0.415,0.308,0.142,0.087,0.101,1.459,0.795
205,0.515,0.21,0.527,0.182,0.009,0.696,0.414
206,0.544,0.062,0.093,0.148,0.025,0.608,0.439
207,0.689,0.361,0.213,0.017,0.022,1.059,0.718
208,0.516,0.314,0.168,0.096,0.052,0.812,0.034
209,0.675,0.143,0.019,0.026,0.059,1.683,0.539
210,0.674,0.36,0.471,0.165,0.184,1.879,0.621
211,0.679,0.601,0.188,0.108,0.171,0.682,0.174
212,0.715,0.364,0.267,0.032,0.132,1.718,0.31
213,0.701,0.285,0.336,0.022,0.098,1.124,0.665
214,0.749,0.382,0.09,0.068,0.193,1.406,0.657
215,0.33,0.144,0.168,0.171,0.073,1.607,0.23
216,0.744,0.145,0.297,0.059,0.042,1.195,0.435
217,0.678,0.084,0.591,0.111,0.177,0.625,0.056
218,0.614,0.676,0.252,0.074,0.152,1.043,0.299
219,0.427,0.538,0.062,0.09,0.175,1.954,0.813
220,0.666,0.486,0.252,0.176,0.127,1.808,0.382
221,0.711,0.443,0.115,0.102,0.141,0.523,0.192
222,0.569,0.758,0.099,0.182,0.115,0.695,0.117
223,0.769,0.24,0.162,0.075,0.098,1.659,0.297
224,0.464,0.528,0.152,0.025,0.141,0.846,0.574
225,0.445,0.423,0.031,0.124,0.169,1.236,0.228
226,0.433,0.144,0.261,0.179,0.152,1.276,0.632
227,0.838,0.204,0.27,0.127,0.128,1.734,0.82
228,0.594,0.473,0.198,0.003,0.028,1.135,0.144
229,0.567,0.075,0.122,0.199,0.132,1.093,0.816
230,0.899,0.405,0.183,0.035,0.01,1.316,0.308
231,0.658,0.129,0.321,0.111,0.121,1.065,0.575
232,0.498,0.182,0.205,0.159,0.072,1.003,0.504
233,0.398,0.448,0.207,0.079,0.149,1.752,0.743
234,0.783,0.444,0.176,0.053,0.001,1.554,0.727
235,0.431,0.174,0.037,0.131,0.052,1.72,0.717
236,0.781,0.376,0.101,0.195,0.1,0.851,0.714
237,0.381,0.088,0.259,0.049,0.151,0.803,0.831
238,0.474,0.178,0.074,0.196,0.103,1.391,0.194
239,0.472,0.328,0.155,0.019,0.104,1.04,0.169
240,0.791,0.163,0.248,0.142,0.031,1.076,0.606
241,0.695,0.01,0.272,0.066,0.043,1.772,0.588
242,0.595,0.372,0.426,0.175,0.043,1.742,0.866
243,0.602,0.382,0.261,0.111,0.167,1.409,0.553
244,0.418,0.349,0.21,0.172,0.162,1.163,0.952
245,0.901,0.206,0.245,0.021,0.024,1.945,0.179
246,0.657,0.276,0.51,0.161,0.184,1.211,0.177
247,0.452,0.36,0.099,0.187,0.027,0.866,0.949
248,0.364,0.218,0.277,0.117,0.092,1.702,0.454
249,0.572,0.208,0.262,0.08,0.141,0.747,0.039
250,0.431,0.362,0.21,0.184,0.028,0.521,0.864
251,0.551,0.237,0.104,0.085,0.131,1.324,0.638
252,0.777,0.336,0.2,0.144,0.157,1.161,0.954
253,0.855,0.773,0.065,0.156,0.197,0.921,0.266
254,0.627,0.211,0.234,0.174,0.066,1.62,0.998
255,0.591,0.33,0.247,0.065,0.152,0.98,0.92
256,0.849,0.442,0.108,0.005,0.003,0.726,0.084
257,0.881,0.469,0.057,0.125,0.011,0.577,0.817
258,0.457,0.118,0.052,0.072,0.05,1.743,0.022
259,0.784,0.699,0.338,0.01,0.1,1.846,0.262
260,0.823,0.42,0.266,0.023,0.088,1.067,0.848
261,0.748,0.428,0.25,0.104,0.033,1.196,0.57
262,0.334,0.14,0.128,0.197,0.041,1.142,0.84
263,0.466,0.117,0.128,0.166,0.107,0.706,0.299
264,0.894,0.237,0.04,0.135,0.132,0.893,0.583
265,0.791,0.347,0.234,0.039,0.089,1.974,0.725
266,0.57,0.042,0.282,0.018,0.16,1.034,0.536
267,0.74,0.406,0.089,0.078,0.15,1.491,0.451
268,0.707,0.132,0.178,0.176,0.078,1.142,0.408
269,0.786,0.463,0.094,0.139,0.08,1.916,0.774
270,0.644,0.639,0.254,0.039,0.165,1.806,0.219
271,0.406,0.139,0.173,0.179,0.156,1.234,0.382
272,0.406,0.165,0.157,0.134,0.085,0.974,0.901
273,0.838,0.239,0.128,0.029,0.164,1.385,0.071
274,0.935,0.662,0.093,0.163,0.166,0.935,0.157
275,0.754,0.142,0.276,0.02,0.186,1.823,0.817
276,0.77,0.116,0.175,0.053,0.009,0.589,0.907
277,0.459,0.252,0.222,0.004,0.176,1.158,0.651
278,0.432,0.1,0.233,0.102,0.051,1.928,0.647
279,0.45,0.169,0.281,0.053,0.164,1.709,0.723
280,0.628,0.196,0.406,0.122,0.16,1.95,0.683
281,0.739,0.113,0.314,0.125,0.176,1.142,0.394
282,0.869,0.343,0.276,0.028,0.114,0.718,0.998
283,0.668,0.165,0.123,0.197,0.039,1.417,0.097
284,0.577,0.455,0.083,0.162,0.022,0.838,0.972
285,0.734,0.145,0.304,0.182,0.199,0.565,0.794
286,0.585,0.251,0.236,0.132,0.099,1.023,0.588
287,0.457,0.455,0.203,0.045,0.171,0.527,0.306
288,0.842,0.167,0.201,0.055,0.084,1.117,0.399
289,0.558,0.55,0.091,0.198,0.147,1.263,0.072
290,0.725,0.557,0.42,0.057,0.111,1.242,0.356
291,0.318,0.38,0.265,0.143,0.077,1.486,0.859
292,0.586,0.539,0.122,0.131,0.045,1.687,0.663
293,0.726,0.59,0.246,0.009,0.158,0.639,0.035
294,0.722,0.436,0.096,0.177,0.116,1.932,0.693
295,0.789,0.224,0.061,0.082,0.167,1.509,0.451
296,0.647,0.281,0.112,0.116,0.196,1.471,0.767
297,0.866,0.5,0.208,0.037,0.023,1.286,0.031
298,0.797,0.028,0.202,0.14,0.038,0.729,0.713
299,0.52,0.401,0.34,0.118,0.12,0.615,0.6
300,0.448,0.341,0.188,0.13,0.018,0.745,0.572
301,0.521,0.376,0.486,0.172,0.146,0.88,0.312
302,0.591,0.212,0.499,0.013,0.035,0.776,0.366
303,0.371,0.285,0.118,0.102,0.121,1.656,0.617
304,0.844,0.524,0.255,0.111,0.132,1.715,0.643
305,0.671,0.435,0.16,0.022,0.067,0.605,0.227
306,0.204,0.407,0.067,0.195,0.033,1.944,0.527
307,0.554,0.101,0.329,0.083,0.136,1.006,0.486
308,0.457,0.735,0.118,0.125,0.091,1.068,0.349
309,0.597,0.106,0.178,0.103,0.033,0.603,0.917
310,0.544,0.547,0.158,0.171,0.103,0.521,0.154
311,0.743,0.098,0.094,0.132,0.064,0.595,0.419
312,0.611,0.214,0.122,0.006,0.19,0.525,0.311
313,0.364,0.211,0.097,0.038,0.177,1.306,0.173
314,0.643,0.063,0.26,0.13,0.094,1.218,0.825
315,0.584,0.528,0.182,0.107,0.187,0.724,0.338
316,0.577,0.46,0.155,0.137,0.167,1.987,0.632
317,0.487,0.761,0.062,0.029,0.084,1.714,0.788
318,0.425,0.201,0.161,0.189,0.027,0.962,0.682
319,0.625,0.192,0.171,0.051,0.16,0.991,0.614
320,0.556,0.252,0.104,0.042,0.082,1.203,0.279
321,0.691,0.268,0.4,0.128,0.057,0.773,0.738
322,0.624,0.15,0.134,0.17,0.092,0.605,0.408
323,0.684,0.328,0.262,0.04,0.082,0.605,0.17
324,0.599,0.517,0.072,0.109,0.068,0.937,0.263
325,0.664,0.154,0.142,0.194,0.141,1.354,0.5
326,0.573,0.522,0.132,0.15,0.139,1.659,0.827
327,0.511,0.337,0.099,0.013,0.035,1.637,0.974
328,0.606,0.299,0.052,0.127,0.194,1.368,0.058
329,0.623,0.182,0.199,0.131,0.083,0.575,0.154
330,0.802,0.279,0.162,0.093,0.078,1.9,0.909
331,0.805,0.216,0.152,0.105,0.008,1.198,0.571
332,0.623,0.167,0.282,0.137,0.192,1.369,0.155
333,0.855,0.035,0.57,0.036,0.113,0.874,0.693
334,0.664,0.257,0.301,0.073,0.103,1.943,0.606
335,0.578,0.222,0.101,0.063,0.127,1.507,0.531
336,0.41,0.216,0.185,0.002,0.125,0.662,0.358
337,0.786,0.488,0.246,0.154,0.059,0.897,0.759
338,0.854,0.14,0.012,0.116,0.048,1.108,0.754
339,0.781,0.483,0.212,0.124,0.181,1.418,0.631
340,0.787,0.571,0.351,0.089,0.003,1.957,0.558
341,0.699,0.122,0.326,0.156,0.167,1.636,0.385
342,0.716,0.072,0.154,0.083,0.003,1.172,0.156
343,0.637,0.313,0.197,0.134,0.102,1.789,0.088
344,0.615,0.607,0.109,0.023,0.013,0.768,0.748
345,0.698,0.122,0.033,0.042,0.05,1.61,0.527
346,0.518,0.196,0.26,0.142,0.164,1.24,0.198
347,0.76,0.499,0.18,0.1,0.016,0.759,0.426
348,0.566,0.22,0.052,0.106,0.172,1.125,0.15
349,0.78,0.302,0.759,0.092,0.055,1.156,0.157
350,0.516,0.479,0.093,0.083,0.138,1.711,0.204
351,0.853,0.204,0.246,0.155,0.023,1.113,0.029
352,0.961,0.127,0.217,0.191,0.002,1.722,0.708
353,0.201,0.445,0.103,0.088,0.07,1.33,0.63
354,0.303,0.12,0.466,0.163,0.034,0.874,0.861
355,0.38,0.523,0.124,0.011,0.05,1.174,0.233
356,0.761,0.386,0.115,0.021,0.161,0.51,0.227
357,0.681,0.301,0.258,0.171,0.172,0.766,0.857
358,0.456,0.073,0.083,0.131,0.126,0.979,0.418
359,0.92,0.252,0.075,0.039,0.117,1.53,0.927
360,0.489,0.126,0.113,0.07,0.087,0.856,0.44
361,0.184,0.368,0.118,0.007,0.141,1.395,0.718
362,0.32,0.363,0.22,0.114,0.11,0.999,0.657
363,0.841,0.161,0.071,0.116,0.06,1.209,0.436
364,0.898,0.334,0.23,0.051,0.178,1.529,0.398
365,0.741,0.191,0.099,0.173,0.017,1.813,0.425
366,0.732,0.253,0.12,0.123,0.051,0.823,0.505
367,0.68,0.506,0.209,0.134,0.015,1.803,0.214
368,0.598,0.119,0.174,0.147,0.147,1.293,0.968
369,0.788,0.628,0.126,0.117,0.046,1.885,0.736
370,0.619,0.314,0.266,0.183,0.111,1.663,0.954
371,0.857,0.291,0.391,0.072,0.114,0.852,0.699
372,0.893,0.165,0.129,0.118,0.09,0.938,0.402
373,0.339,0.166,0.23,0.163,0.082,1.66,0.718
374,0.857,0.098,0.18,0.127,0.121,0.728,0.834
375,0.5,0.056,0.152,0.117,0.103,0.72,0.179
376,0.807,0.416,0.258,0.065,0.151,1.537,0.975
377,0.717,0.157,0.31,0.074,0.191,0.563,0.245
378,0.689,0.227,0.276,0.195,0.167,1.433,0.995
379,0.408,0.364,0.19,0.096,0.095,1.731,0.542
380,0.356,0.158,0.158,0.162,0.152,1.33,0.795
381,0.46,0.125,0.163,0.009,0.085,0.733,0.632
382,0.889,0.368,0.091,0.112,0.191,1.038,0.968
383,0.758,0.245,0.254,0.118,0.101,0.675,0.692
384,0.738,0.632,0.39,0.17,0.028,1.175,0.508
385,0.475,0.259,0.423,0.179,0.117,0.913,0.485
386,0.527,0.361,0.121,0.02,0.193,0.585,0.868
387,0.566,0.177,0.07,0.184,0.187,1.367,0.174
388,0.741,0.39,0.307,0.155,0.018,0.78,0.796
389,0.824,0.469,0.413,0.144,0.134,1.888,0.164
390,0.524,0.143,0.412,0.096,0.141,0.718,0.828
391,0.747,0.242,0.086,0.117,0.007,0.88,0.202
392,0.922,0.09,0.188,0.029,0.027,1.909,0.318
393,0.588,0.241,0.218,0.198,0.003,1.148,0.236
394,0.754,0.603,0.146,0.188,0.087,1.501,0.644
395,0.561,0.127,0.24,0.087,0.084,0.985,0.127
396,0.321,0.346,0.346,0.132,0.07,0.785,0.534
397,0.564,0.115,0.135,0.0,0.058,1.679,0.968
398,0.837,0.387,0.552,0.001,0.033,0.876,0.347
399,0.813,0.409,0.101,0.119,0.064,1.506,0.684
400,0.605,0.147,0.015,0.048,0.153,1.722,0.296
401,0.56,0.212,0.026,0.024,0.115,1.894,0.495
402,0.915,0.331,0.187,0.08,0.063,0.628,0.117
403,0.507,0.41,0.056,0.109,0.142,0.575,0.364
404,0.705,0.119,0.091,0.178,0.075,1.173,0.422
405,0.631,0.623,0.193,0.179,0.148,0.609,0.932
406,0.687,0.349,0.184,0.182,0.118,0.845,0.745
407,0.644,0.129,0.402,0.083,0.03,1.145,0.933
408,0.59,0.171,0.197,0.088,0.109,1.996,0.527
409,0.66,0.074,0.177,0.078,0.121,1.645,0.386
410,0.347,0.322,0.333,0.003,0.066,1.758,0.447
411,0.749,0.489,0.112,0.165,0.186,1.976,0.518
412,0.444,0.105,0.083,0.171,0.084,0.973,0.894
413,0.686,0.38,0.215,0.026,0.032,1.04,0.835
414,0.81,0.366,0.267,0.101,0.076,1.154,0.788
415,0.706,0.293,0.165,0.025,0.169,1.986,0.393
416,0.654,0.514,0.091,0.185,0.002,1.809,0.624
417,0.346,0.469,0.437,0.174,0.026,1.84,0.186
418,0.715,0.246,0.051,0.11,0.152,1.603,0.153
419,0.529,0.081,0.298,0.004,0.029,1.569,0.617
420,0.389,0.355,0.155,0.149,0.006,0.691,0.586
421,0.243,0.508,0.113,0.033,0.175,0.598,0.746
422,0.488,0.2,0.49,0.123,0.007,0.853,0.214
423,0.716,0.074,0.107,0.03,0.184,1.572,0.639
424,0.558,0.102,0.11,0.127,0.0,0.881,0.369
425,0.681,0.497,0.129,0.007,0.096,1.787,0.874
426,0.67,0.502,0.095,0.064,0.119,1.361,0.638
427,0.794,0.256,0.165,0.035,0.033,1.055,0.722
428,0.679,0.532,0.27,0.115,0.145,0.985,0.888
429,0.483,0.043,0.278,0.005,0.069,0.537,0.404
430,0.453,0.117,0.112,0.173,0.025,0.815,0.91
431,0.739,0.294,0.087,0.011,0.001,1.721,0.02
432,0.392,0.12,0.211,0.085,0.151,1.957,0.018
433,0.749,0.559,0.273,0.025,0.194,0.524,0.594
434,0.693,0.161,0.065,0.064,0.056,1.943,0.913
435,0.614,0.295,0.057,0.039,0.036,1.138,0.08
436,0.687,0.214,0.139,0.037,0.098,1.658,0.354
437,0.566,0.303,0.272,0.119,0.052,1.624,0.435
438,0.623,0.07,0.301,0.055,0.025,0.92,0.964
439,0.76,0.676,0.297,0.141,0.053,0.618,0.832
440,0.287,0.129,0.047,0.001,0.074,1.468,0.943
441,0.562,0.154,0.041,0.118,0.038,0.969,0.606
442,0.458,0.075,0.139,0.159,0.014,1.898,0.971
443,0.829,0.103,0.156,0.087,0.043,1.707,0.177
444,0.709,0.17,0.332,0.112,0.182,1.453,0.42
445,0.662,0.212,0.17,0.199,0.079,1.338,0.753
446,0.727,0.777,0.175,0.042,0.13,1.73,0.842
447,0.725,0.455,0.239,0.064,0.107,1.358,0.365
448,0.373,0.331,0.102,0.003,0.171,0.789,0.863
449,0.3,0.17,0.143,0.193,0.123,0.557,0.479
450,0.726,0.245,0.239,0.184,0.007,1.063,0.652
451,0.853,0.332,0.384,0.074,0.12,0.877,0.269
452,0.536,0.362,0.318,0.194,0.173,1.801,0.843
453,0.52,0.614,0.259,0.172,0.085,0.917,0.212
454,0.613,0.282,0.201,0.149,0.001,1.147,0.423
455,0.785,0.514,0.238,0.131,0.086,1.702,0.682
456,0.596,0.035,0.302,0.144,0.169,0.991,0.378
457,0.839,0.077,0.346,0.067,0.012,1.66,0.441
458,0.696,0.143,0.182,0.009,0.131,1.314,0.748
459,0.272,0.483,0.168,0.187,0.03,1.744,0.382
460,0.737,0.162,0.085,0.051,0.161,0.891,0.419
461,0.543,0.134,0.022,0.172,0.134,1.622,0.949
462,0.139,0.26,0.324,0.069,0.084,1.124,0.781
463,0.722,0.381,0.222,0.109,0.005,0.734,0.418
464,0.84,0.19,0.118,0.098,0.173,1.364,0.127
465,0.61,0.494,0.183,0.119,0.158,1.934,0.251
